_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	tokens	type
dry.foc5.nav.ppmi_sel.bound.min1.all.foc	0.45538956153605653	0.097650622394246	581	1	nav	bound	ppmi_sel	5_5	foc	581	all	296	dry
dry.foc5.nav.no_ppmi.bound.min1.nav.5000	-0.1271812881618178	0.3013504561588129	823	1	nav	bound	no_ppmi	5_5	5000	5000	nav	299	dry
dry.foc5.nav.no_ppmi.bound.min1.nav.10000	-0.11823306274195226	0.3001362394162589	823	1	nav	bound	no_ppmi	5_5	10000	10000	nav	299	dry
dry.foc5.nav.no_ppmi.bound.min1.nav.foc	-0.10391110686299183	0.2520028532768449	823	1	nav	bound	no_ppmi	5_5	foc	823	nav	299	dry
dry.foc5.nav.no_ppmi.bound.min1.all.5000	-0.12456826835092202	0.3016816298564018	823	1	nav	bound	no_ppmi	5_5	5000	5000	all	299	dry
dry.foc5.nav.no_ppmi.bound.min1.all.10000	-0.1181380458973557	0.2998114997783371	823	1	nav	bound	no_ppmi	5_5	10000	10000	all	299	dry
dry.foc5.nav.no_ppmi.bound.min1.all.foc	-0.10391679199455753	0.25200040517891825	823	1	nav	bound	no_ppmi	5_5	foc	823	all	299	dry
dry.foc5.all.ppmi_weight.bound.min1.nav.5000	0.03668938906915436	0.07306521604243404	652	1	all	bound	ppmi_weight	5_5	5000	5000	nav	297	dry
dry.foc5.all.ppmi_weight.bound.min1.nav.10000	0.042941930715576844	0.06970033569052553	652	1	all	bound	ppmi_weight	5_5	10000	10000	nav	297	dry
dry.foc5.all.ppmi_weight.bound.min1.nav.foc	0.15073732042527005	0.04867626611564264	652	1	all	bound	ppmi_weight	5_5	foc	652	nav	297	dry
dry.foc5.all.ppmi_weight.bound.min1.all.5000	0.037018334331614264	0.07281560555270153	652	1	all	bound	ppmi_weight	5_5	5000	5000	all	297	dry
dry.foc5.all.ppmi_weight.bound.min1.all.10000	0.04294542201459569	0.06969911072052334	652	1	all	bound	ppmi_weight	5_5	10000	10000	all	297	dry
dry.foc5.all.ppmi_weight.bound.min1.all.foc	0.15073785082360103	0.04867136076127235	652	1	all	bound	ppmi_weight	5_5	foc	652	all	297	dry
dry.foc5.all.ppmi_sel.bound.min1.nav.5000	0.06337535273444284	0.013138288717327286	652	1	all	bound	ppmi_sel	5_5	5000	5000	nav	297	dry
dry.foc5.all.ppmi_sel.bound.min1.nav.10000	0.06636106715801132	0.008123229393102923	652	1	all	bound	ppmi_sel	5_5	10000	10000	nav	297	dry
dry.foc5.all.ppmi_sel.bound.min1.nav.foc	0.13654381437711977	-0.07856833545666646	652	1	all	bound	ppmi_sel	5_5	foc	652	nav	297	dry
dry.foc5.all.ppmi_sel.bound.min1.all.5000	0.06278233445495303	0.012348852114768752	652	1	all	bound	ppmi_sel	5_5	5000	5000	all	297	dry
dry.foc5.all.ppmi_sel.bound.min1.all.10000	0.06649173161967674	0.007722522818171063	652	1	all	bound	ppmi_sel	5_5	10000	10000	all	297	dry
dry.foc5.all.ppmi_sel.bound.min1.all.foc	0.13654602761104084	-0.07856170624307258	652	1	all	bound	ppmi_sel	5_5	foc	652	all	297	dry
dry.foc5.all.no_ppmi.bound.min1.nav.5000	-0.21726826778722197	0.0903453922874334	955	1	all	bound	no_ppmi	5_5	5000	5000	nav	300	dry
dry.foc5.all.no_ppmi.bound.min1.nav.10000	-0.2131495286979492	0.08599681397764387	955	1	all	bound	no_ppmi	5_5	10000	10000	nav	300	dry
dry.foc5.all.no_ppmi.bound.min1.nav.foc	-0.22193448123638815	0.10124627891693659	955	1	all	bound	no_ppmi	5_5	foc	955	nav	300	dry
dry.foc5.all.no_ppmi.bound.min1.all.5000	-0.21627956242873425	0.08909239714740767	955	1	all	bound	no_ppmi	5_5	5000	5000	all	300	dry
dry.foc5.all.no_ppmi.bound.min1.all.10000	-0.21303334938566704	0.08604651880036128	955	1	all	bound	no_ppmi	5_5	10000	10000	all	300	dry
dry.foc5.all.no_ppmi.bound.min1.all.foc	-0.22193597153159553	0.10124191189140574	955	1	all	bound	no_ppmi	5_5	foc	955	all	300	dry
dry.foc10.nav.ppmi_weight.nobound.min1.nav.5000	-0.033091395701362034	-0.030995363848826642	1042	1	nav	nobound	ppmi_weight	10_10	5000	5000	nav	299	dry
dry.foc10.nav.ppmi_weight.nobound.min1.nav.10000	-0.028105186418203573	-0.034982021276042274	1042	1	nav	nobound	ppmi_weight	10_10	10000	10000	nav	299	dry
dry.foc10.nav.ppmi_weight.nobound.min1.nav.foc	0.44883319703050045	-0.11218249932228141	1042	1	nav	nobound	ppmi_weight	10_10	foc	1042	nav	299	dry
dry.foc10.nav.ppmi_weight.nobound.min1.all.5000	-0.03297100178167389	-0.030584644824852344	1042	1	nav	nobound	ppmi_weight	10_10	5000	5000	all	299	dry
dry.foc10.nav.ppmi_weight.nobound.min1.all.10000	-0.02786437825521502	-0.034953249639139296	1042	1	nav	nobound	ppmi_weight	10_10	10000	10000	all	299	dry
dry.foc10.nav.ppmi_weight.nobound.min1.all.foc	0.44883517223625585	-0.11217504645257072	1042	1	nav	nobound	ppmi_weight	10_10	foc	1042	all	299	dry
dry.foc10.nav.ppmi_sel.nobound.min1.nav.5000	0.061410492694463775	-0.09016474523309573	1042	1	nav	nobound	ppmi_sel	10_10	5000	5000	nav	299	dry
dry.foc10.nav.ppmi_sel.nobound.min1.nav.10000	0.06570927963307495	-0.09264413669571318	1042	1	nav	nobound	ppmi_sel	10_10	10000	10000	nav	299	dry
dry.foc10.nav.ppmi_sel.nobound.min1.nav.foc	0.38366008522328	-0.17890894214289813	1042	1	nav	nobound	ppmi_sel	10_10	foc	1042	nav	299	dry
dry.foc10.nav.ppmi_sel.nobound.min1.all.5000	0.060738372094769	-0.08979163345796741	1042	1	nav	nobound	ppmi_sel	10_10	5000	5000	all	299	dry
dry.foc10.nav.ppmi_sel.nobound.min1.all.10000	0.06535076525080422	-0.09247971974157349	1042	1	nav	nobound	ppmi_sel	10_10	10000	10000	all	299	dry
dry.foc10.nav.ppmi_sel.nobound.min1.all.foc	0.3836631931385999	-0.17890226640042006	1042	1	nav	nobound	ppmi_sel	10_10	foc	1042	all	299	dry
dry.foc10.nav.no_ppmi.nobound.min1.nav.5000	-0.37908564407314876	-0.09552206387642728	1538	1	nav	nobound	no_ppmi	10_10	5000	5000	nav	300	dry
dry.foc10.nav.no_ppmi.nobound.min1.nav.10000	-0.3748290008698174	-0.09859870734608044	1538	1	nav	nobound	no_ppmi	10_10	10000	10000	nav	300	dry
dry.foc10.nav.no_ppmi.nobound.min1.nav.foc	-0.2719719664072365	-0.08463511910892801	1538	1	nav	nobound	no_ppmi	10_10	foc	1538	nav	300	dry
dry.foc10.nav.no_ppmi.nobound.min1.all.5000	-0.37839613183124626	-0.09566064978744201	1538	1	nav	nobound	no_ppmi	10_10	5000	5000	all	300	dry
dry.foc10.nav.no_ppmi.nobound.min1.all.10000	-0.3748099702994392	-0.09862750051202884	1538	1	nav	nobound	no_ppmi	10_10	10000	10000	all	300	dry
dry.foc10.nav.no_ppmi.nobound.min1.all.foc	-0.27197446076792925	-0.0846298415947836	1538	1	nav	nobound	no_ppmi	10_10	foc	1538	all	300	dry
dry.foc10.all.ppmi_weight.nobound.min1.nav.5000	-0.01199815656375186	-0.17701085085607984	1156	1	all	nobound	ppmi_weight	10_10	5000	5000	nav	300	dry
dry.foc10.all.ppmi_weight.nobound.min1.nav.10000	-0.00838370073543312	-0.17629266799230062	1156	1	all	nobound	ppmi_weight	10_10	10000	10000	nav	300	dry
dry.foc10.all.ppmi_weight.nobound.min1.nav.foc	0.014361643798932937	-0.17586724649786364	1156	1	all	nobound	ppmi_weight	10_10	foc	1156	nav	300	dry
dry.foc10.all.ppmi_weight.nobound.min1.all.5000	-0.01342293645673128	-0.1764067392959922	1156	1	all	nobound	ppmi_weight	10_10	5000	5000	all	300	dry
dry.foc10.all.ppmi_weight.nobound.min1.all.10000	-0.008422915528867678	-0.17636654434226734	1156	1	all	nobound	ppmi_weight	10_10	10000	10000	all	300	dry
dry.foc10.all.ppmi_weight.nobound.min1.all.foc	0.014357816358500782	-0.17586770176059405	1156	1	all	nobound	ppmi_weight	10_10	foc	1156	all	300	dry
dry.foc10.all.ppmi_sel.nobound.min1.nav.5000	0.13218664243979755	-0.48178083212354356	1156	1	all	nobound	ppmi_sel	10_10	5000	5000	nav	300	dry
dry.foc10.all.ppmi_sel.nobound.min1.nav.10000	0.13487615700217	-0.4781551709823192	1156	1	all	nobound	ppmi_sel	10_10	10000	10000	nav	300	dry
dry.foc10.all.ppmi_sel.nobound.min1.nav.foc	0.10592715225956552	-0.37897442584894714	1156	1	all	nobound	ppmi_sel	10_10	foc	1156	nav	300	dry
dry.foc10.all.ppmi_sel.nobound.min1.all.5000	0.13168314755657032	-0.4800103034294313	1156	1	all	nobound	ppmi_sel	10_10	5000	5000	all	300	dry
dry.foc10.all.ppmi_sel.nobound.min1.all.10000	0.1348827032541943	-0.47815335524018654	1156	1	all	nobound	ppmi_sel	10_10	10000	10000	all	300	dry
dry.foc10.all.ppmi_sel.nobound.min1.all.foc	0.10592130721951216	-0.3789762251677058	1156	1	all	nobound	ppmi_sel	10_10	foc	1156	all	300	dry
dry.foc10.all.no_ppmi.nobound.min1.nav.5000	-0.3098161576614525	-0.4141577693320764	1758	1	all	nobound	no_ppmi	10_10	5000	5000	nav	300	dry
dry.foc10.all.no_ppmi.nobound.min1.nav.10000	-0.3082380774848944	-0.41447389863753853	1758	1	all	nobound	no_ppmi	10_10	10000	10000	nav	300	dry
dry.foc10.all.no_ppmi.nobound.min1.nav.foc	-0.32307191097487653	-0.4081721338909139	1758	1	all	nobound	no_ppmi	10_10	foc	1758	nav	300	dry
dry.foc10.all.no_ppmi.nobound.min1.all.5000	-0.3097735966640797	-0.4140600165627611	1758	1	all	nobound	no_ppmi	10_10	5000	5000	all	300	dry
