pmi	raw_freq	raw_co	cw
-0.50396836	4880	3	classification/n
2.391209	26805	299	clean/j
5.0732684	3349	546	cleaner/n
4.579826	3881	386	cleaning/n
0.30690834	74860	104	clear/j
0.8928008	3634	9	click/n
2.3725474	21438	235	climate/n
2.1368365	9005	78	cloth/n
1.9402771	28963	206	clothes/n
1.7311195	173	1	clothier/n
1.7246561	13072	75	clothing/n
3.1778476	4710	112	clove/n
-0.5045347	27533	17	cnn/n
2.1403754	116	1	coachella/n
1.8651642	17750	117	coat/n
1.918635	287	2	cobbled/j
1.4602396	3437	15	coconut/n
1.3559674	2273	9	cod/n
0.59261453	30925	57	coffee/n
-1.4595628	8465	2	cohen/n
0.6539818	1527	3	coin/v
2.165911	48259	430	cold/j
1.6335894	191	1	collare/v
0.11809492	32134	37	collect/v
0.6464489	98601	192	color/n
2.3878515	629	7	colorless/j
1.5071703	2819	13	comb/v
1.8633778	29471	194	combine/v
-0.3248262	680921	502	come/v
0.38257346	4676	7	comfort/v
-0.5194527	44430	27	commercial/j
-1.740678	33519	6	commission/n
-0.91872245	216063	88	company/n
0.0008608803	9826	10	competitor/n
-0.5847644	15811	9	complaint/n
-0.25871444	1273	1	complement/n
-0.35119915	27857	20	complete/j
1.6492972	35757	190	completely/r
-0.07331104	9469	9	compose/v
1.4860657	1550	7	composting/j
1.0257654	1753	5	compress/v
0.176634	14749	18	concentrate/v
0.44195282	13268	21	concentration/n
-0.7255303	36357	18	concerned/j
-0.5792736	5237	3	concession/n
1.6107699	69426	355	condition/n
2.5184176	2134	27	conditioner/n
2.7378936	129	2	conditions/n
-1.6175754	14774	3	confront/v
-0.45419356	9254	6	confusion/n
-0.6564616	111259	59	consider/v
-0.40201774	8770	6	consistently/r
-0.8135668	15427	7	construct/v
-0.9344318	4974	2	consultation/n
-0.23685504	27321	22	contact/n
2.0625818	9962	80	container/n
-0.51710033	136749	83	continue/v
-0.3293257	44885	33	control/v
0.6839701	16321	33	cook/n
1.6350127	31504	165	cook/v
1.6094173	10404	53	cooking/n
2.5290678	29985	382	cool/j
1.6031245	10052	51	cool/v
-1.2937462	7143	2	coordinator/n
1.929349	14828	104	corn/n
0.41094342	38306	59	corner/n
3.1103761	666	15	cornstarch/n
2.2234902	106	1	coronet/n
-0.51684284	6555	4	costly/j
1.5950961	11525	58	cotton/n
-0.21739566	672053	553	could/v
0.23262796	73304	94	county/n
-0.6007573	82095	46	couple/n
-0.4757697	69296	44	course/n
-0.60357374	103992	58	course/r
1.0167474	76463	216	cover/v
1.8147715	21221	132	cream/n
-0.12622687	133070	120	create/v
-0.24701846	16299	13	creature/n
2.6406207	17297	245	creek/n
2.0966477	240	2	creel/n
1.8174504	15064	95	crop/n
0.2643531	8283	11	crown/n
-0.43976188	1519	1	crown/v
3.2549324	3119	82	crumb/n
2.1788876	4665	42	crust/n
0.74054456	4689	10	crying/n
3.1469493	42	1	crystalize/v
2.4392207	171	2	csom/n
0.7115076	481	1	cue/v
3.082433	62373	1346	cup/n
3.3595386	11485	326	cup/v
-0.09482766	3227	3	curb/v
1.3885386	1956	8	curly/j
0.47222733	28760	47	cut/n
1.0330428	104855	298	cut/v
-0.72280926	40562	20	dad/n
1.425646	6580	28	dam/n
3.0286362	4867	103	damp/j
1.9055561	146	1	dander/n
1.0385628	18362	53	dark/n
0.3153031	14296	20	darkness/n
-1.5759947	66263	14	daughter/n
-1.4883434	78502	18	david/n
0.14525722	488454	575	day/n
1.9175824	864	6	dead/n
1.7517024	340	2	deadwood/n
-1.0579585	101467	36	death/n
-0.28869703	19601	15	decline/v
2.3437762	187	2	decomposing/j
1.629703	769	4	decomposition/n
0.50509304	6493	11	decorate/v
0.64624715	44103	86	deep/j
0.80643696	23606	54	deep/r
0.2619064	17304	23	deeply/r
0.35894775	13007	19	deer/n
0.015320416	966	1	defensively/r
2.6777227	1505	22	deg/n
0.7949012	54932	124	degree/n
1.3094432	7921	30	delicate/j
0.5989291	5944	11	delicious/j
0.08259024	32446	36	deliver/v
-0.7576694	27100	13	demand/v
-0.32328963	27048	20	depend/v
0.46491143	14177	23	depth/n
-0.38972592	11576	8	derive/v
-0.42387345	53932	36	design/n
-0.13576028	3375	3	desktop/n
-0.33561888	56203	41	despite/i
0.98557615	1094	3	detached/j
0.4226189	1918	3	deterioration/n
-0.3729957	8540	6	diabetes/n
-0.46930742	108109	69	die/v
-0.7545162	89712	43	difference/n
-0.46927205	68724	44	difficult/j
3.1357973	747	17	dijon/n
-0.3689057	4263	3	diner/n
0.05120722	27873	30	direct/j
-0.76581275	25259	12	direct/v
-0.046111003	45123	44	direction/n
2.1111119	13150	111	dirt/n
0.98253024	12107	33	dirty/j
0.09144096	43691	49	discover/v
-0.2988932	7937	6	disk/n
0.73708117	937	2	dislodge/v
-0.093889706	2148	2	dispense/v
0.116303705	34025	39	distance/n
0.56369114	13355	24	distant/j
0.12271045	10381	12	distinct/j
-1.172918	53953	17	district/n
0.71077293	3840	8	disturbance/n
2.2506168	3088	30	ditch/n
-1.2172408	13195	4	diverse/j
1.2847682	20085	74	divide/v
-0.72017086	2807093	1390	do/v
3.0966759	5890	133	dock/n
-0.3519179	134156	96	door/n
0.17531356	6636	8	dot/n
2.5747378	7405	99	dough/n
0.14004119	42695	50	down/i
0.18935323	357736	441	down/r
0.5825955	18062	33	drag/v
3.0653026	9236	202	drain/v
1.5108128	2591	12	drainage/n
3.04952	1222	26	drained/j
-0.19947381	70474	59	draw/v
2.0215216	260	2	drawbridge/n
1.0326025	356	1	dreier/n
2.6126676	6870	94	dried/j
1.0232733	34864	99	drink/v
1.7378846	4135	24	drip/v
-0.48925272	28893	18	drive/n
0.09862615	86959	98	drive/v
0.44954637	61313	98	drop/v
3.0116286	4812	100	drought/n
2.4985538	80	1	druyun/n
3.574947	26274	956	dry/j
2.650364	10586	153	dry/v
1.1568437	9264	30	duck/n
0.52125174	23240	40	due/i
1.0281562	206675	591	during/i
2.3807483	16554	183	dust/n
3.1095426	5157	118	dusty/j
-0.79989666	21776	10	duty/n
-0.00014619685	5873	6	dying/j
-0.8940787	57402	24	each/p
-0.2855381	117201	90	early/j
1.2330595	53644	188	earth/n
0.67615527	34302	69	easily/r
0.49610838	26803	45	eastern/j
0.56452227	80284	144	eat/v
-1.8851777	96582	15	economic/j
1.3364223	1284	5	economical/j
2.1985073	7808	72	ecosystem/n
2.3619707	646	7	ecosystem/v
3.1687684	42	1	ecstacy/n
0.27723995	742	1	edifice/n
-0.26511657	104905	82	effect/n
2.0794537	31018	252	egg/n
2.0760677	1730	14	eggplant/n
-0.45947367	35661	23	element/n
1.717171	3350	19	elevation/n
0.11420091	7936	9	elevator/n
-0.5729294	5240	3	ellis/n
-0.60529023	95140	53	else/r
1.0634693	1012	3	embellish/v
-0.9125836	7349	3	emily/n
-0.8222362	17781	8	enable/v
-0.3941837	13029	9	encounter/v
0.18947877	146563	181	end/n
-1.4694525	4248	1	endeavor/n
-0.5710267	22549	13	english/j
-0.6719481	1915	1	enjoyable/j
0.33429807	115584	165	enough/r
-0.33060572	58806	43	enter/v
1.1699284	7614	25	envelope/n
0.7285969	52816	112	environment/n
0.05453851	29654	32	equipment/n
3.592787	27	1	erez/n
3.9884686	36	2	erodible/j
1.5210412	1707	8	errand/n
0.20003127	4809	6	erupt/v
0.16726851	20677	25	essential/j
-0.37861317	48524	34	establish/v
-0.43932465	9137	6	estimated/j
3.5834672	27	1	etkes/n
0.06165223	392773	427	even/r
0.013397281	44484	46	evening/n
-0.6940562	82289	42	event/n
-0.5578798	147371	86	ever/r
2.368938	1372	15	everglades/n
-0.6519181	82765	44	everyone/p
0.1442983	113748	134	everything/p
-0.99772435	71559	27	evidence/n
-0.1987598	9566	8	exact/j
-0.47781315	83472	53	example/r
0.66751164	6018	12	excessive/j
-0.6985919	27534	14	exercise/n
1.4141839	2142	9	exhaust/n
-0.5734136	1735	1	exodus/n
-0.8146476	6630	3	exotic/j
-0.46812558	103095	66	expect/v
-0.092718154	23693	22	expensive/j
-1.3930646	106244	27	experience/n
-0.11182511	37180	34	experience/v
-0.17296684	87164	75	explain/v
-0.262075	6352	5	exploit/v
0.60108644	19302	36	expose/v
0.29527622	18975	26	exposure/n
0.011715867	20652	20	ext/n
-0.15199482	28510	25	extend/v
0.84834313	14260	34	extreme/j
1.3711196	21606	87	extremely/r
0.9156616	183548	468	eye/n
1.3027521	1336	5	eyeball/n
1.6060139	2157	11	eyelid/n
1.6448483	11535	61	fabric/n
0.39369297	136857	207	face/n
-0.66478413	76120	40	face/v
1.895815	592	4	fahrenheit/n
-0.93676734	52450	21	fail/v
0.8351893	16540	39	fairly/r
0.58077455	42784	78	fall/n
0.35229436	105395	153	fall/v
2.8233495	177	3	fannin/n
-0.17390369	160606	138	far/r
0.4523965	33000	53	farm/n
1.1935247	25492	86	farmer/n
2.6098533	73	1	farthing/n
0.27750152	38637	52	fast/r
-0.7562908	156254	75	father/n
0.9733883	5546	15	fatigue/n
1.0325302	6285	18	feather/n
-0.18386033	36555	31	feature/n
1.4833812	4007	18	feed/n
0.7232163	7605	16	feel/n
